time,temperature_2m_max,temperature_2m_min,precipitation_sum,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max
2020-01-01,-4.2,-7.3,0.1,970.7,78,20.4
2020-01-02,-3.5,-9.4,2.0,977.8,95,17.8
2020-01-03,-8.6,-16.4,0.0,988.5,43,17.9
2020-01-04,-2.0,-11.1,2.4,982.1,96,20.5
2020-01-05,-3.0,-4.9,0.0,985.7,94,14.6
2020-01-06,-1.5,-3.7,0.2,991.9,98,13.3
2020-01-07,-4.2,-7.2,0.0,999.9,97,8.9
2020-01-08,-5.6,-8.6,0.6,1000.0,97,10.7
2020-01-09,-8.4,-11.4,0.0,997.5,73,15.4
2020-01-10,-6.9,-12.4,0.0,991.6,32,16.4
2020-01-11,-8.1,-15.4,0.0,986.6,67,11.6
2020-01-12,-5.8,-9.6,0.1,985.6,68,14.8
2020-01-13,-4.1,-7.7,1.5,978.2,98,24.2
2020-01-14,-3.8,-7.1,0.4,976.4,59,21.3
2020-01-15,-4.4,-10.2,0.0,990.4,52,21.3
2020-01-16,-1.2,-6.2,0.2,985.9,94,28.1
2020-01-17,1.1,-0.9,1.4,982.5,92,25.7
2020-01-18,-0.9,-3.7,0.7,991.7,87,19.9
2020-01-19,-1.9,-4.5,0.9,994.1,90,15.2
2020-01-20,-1.5,-5.3,2.1,986.9,98,13.9
2020-01-21,-5.9,-9.2,0.3,983.4,99,11.9
2020-01-22,-2.9,-8.3,2.4,966.6,95,31.3
2020-01-23,-3.2,-7.7,0.0,961.6,63,23.7
2020-01-24,-5.8,-9.6,0.0,970.3,84,20.6
2020-01-25,-9.3,-14.2,0.4,971.6,62,17.1
2020-01-26,-6.8,-12.4,2.3,964.5,79,16.0
2020-01-27,-7.9,-14.8,0.1,969.9,91,19.5
2020-01-28,-15.0,-18.0,0.0,985.5,42,20.5
2020-01-29,-17.4,-24.4,0.0,1001.4,44,15.2
2020-01-30,-11.4,-19.4,0.0,999.4,82,17.8
2020-01-31,-6.0,-10.9,1.0,993.9,92,19.1
2020-02-01,-8.1,-10.9,0.8,987.8,100,19.7
2020-02-02,-5.3,-12.4,3.1,983.6,56,13.6
2020-02-03,-7.8,-12.6,0.1,980.3,87,29.2
2020-02-04,1.8,-7.4,1.7,969.3,99,33.9
2020-02-05,1.6,-5.9,1.3,969.1,59,31.1
2020-02-06,-5.8,-11.4,0.0,976.1,57,22.2
2020-02-07,-10.4,-16.1,1.1,979.0,78,13.0
2020-02-08,-8.8,-11.2,2.6,974.1,99,14.9
2020-02-09,-11.9,-17.5,0.0,984.4,52,17.7
2020-02-10,-9.6,-19.5,1.0,987.0,72,18.3
2020-02-11,-7.6,-13.6,0.0,987.0,41,14.0
2020-02-12,-4.6,-14.1,0.1,989.3,61,12.0
2020-02-13,-5.1,-12.7,0.4,987.0,56,13.0
2020-02-14,-8.6,-13.7,0.0,989.9,61,13.5
2020-02-15,-4.2,-13.9,0.0,995.3,75,13.6
2020-02-16,-3.5,-7.7,2.9,1001.4,98,13.2
2020-02-17,-6.1,-11.2,0.1,1003.6,31,18.5
2020-02-18,0.5,-10.4,1.0,989.0,98,27.2
2020-02-19,1.5,-1.0,0.0,987.2,99,21.2
2020-02-20,1.5,-2.3,1.3,988.2,82,22.2
2020-02-21,1.1,-2.5,0.0,992.8,76,14.5
2020-02-22,0.5,-3.9,0.2,998.4,80,9.8
2020-02-23,-0.2,-7.3,0.0,999.3,47,16.2
2020-02-24,-5.2,-9.4,1.2,989.0,82,29.2
2020-02-25,-2.3,-7.4,0.0,984.7,80,20.9
2020-02-26,-2.8,-5.3,9.3,968.9,100,30.3
2020-02-27,0.2,-4.2,3.0,978.1,84,34.6
2020-02-28,3.6,-0.6,1.7,988.0,92,22.2
2020-02-29,0.7,-2.2,0.0,986.7,76,29.2
2020-03-01,2.2,-2.7,0.1,986.8,98,16.5
2020-03-02,-0.6,-7.0,0.0,994.7,10,17.1
2020-03-03,2.8,-3.5,0.0,995.5,85,23.9
2020-03-04,1.6,-3.1,0.0,993.9,81,17.7
2020-03-05,-1.5,-9.2,0.8,998.3,67,18.5
2020-03-06,-4.6,-15.7,0.0,1010.1,5,16.7
2020-03-07,0.6,-9.4,0.0,1005.4,76,26.4
2020-03-08,0.9,-3.8,0.0,1002.1,97,24.5
2020-03-09,3.3,-3.3,3.5,995.9,89,19.8
2020-03-10,2.1,-0.6,2.2,995.7,98,9.8
2020-03-11,5.3,-2.0,0.0,993.2,67,17.4
