time,temperature_2m_max,temperature_2m_min,precipitation_sum,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max
2020-01-01,-3.5,-8.6,0.3,1002.7,94,16.6
2020-01-02,-0.2,-4.1,1.5,1000.5,100,22.5
2020-01-03,0.6,-1.4,0.6,999.4,85,26.0
2020-01-04,-1.1,-5.6,0.3,1002.2,69,19.4
2020-01-05,-2.6,-10.2,0.2,1005.3,68,21.9
2020-01-06,-0.8,-5.8,0.4,1005.9,90,18.8
2020-01-07,-7.0,-10.6,0.0,1007.7,35,12.2
2020-01-08,-7.3,-11.4,0.1,1011.5,100,12.3
2020-01-09,-8.0,-14.1,1.0,1013.1,89,8.0
2020-01-10,-14.7,-21.6,0.0,1015.7,76,5.9
2020-01-11,-19.0,-21.4,0.0,1014.3,24,5.8
2020-01-12,-13.6,-25.2,0.0,1005.8,31,12.1
2020-01-13,-8.9,-16.5,0.0,1000.2,76,12.8
2020-01-14,-7.2,-11.4,0.8,1001.2,83,16.0
2020-01-15,-4.9,-9.5,0.0,1004.7,82,21.1
2020-01-16,-4.7,-7.1,0.1,1003.3,86,17.8
2020-01-17,-5.0,-8.6,0.3,998.7,54,24.0
2020-01-18,-3.7,-14.8,2.0,992.7,90,32.2
2020-01-19,-6.4,-19.9,0.5,997.2,76,26.0
2020-01-20,-7.1,-14.8,0.4,996.3,94,26.6
2020-01-21,-14.1,-16.7,0.0,998.6,94,23.1
2020-01-22,-15.6,-24.3,0.0,1006.2,13,13.3
2020-01-23,-6.9,-20.2,0.2,1003.3,76,14.9
2020-01-24,0.4,-5.9,1.1,995.2,99,24.2
2020-01-25,1.2,-1.2,0.2,989.6,98,26.3
2020-01-26,0.2,-9.0,0.0,998.2,74,24.0
2020-01-27,-7.8,-15.2,0.0,1003.6,64,12.3
2020-01-28,-2.0,-9.7,0.0,998.4,91,19.9
2020-01-29,-3.0,-9.2,1.2,998.3,98,28.2
2020-01-30,-8.1,-22.6,0.2,1015.8,84,27.4
2020-01-31,-16.9,-23.1,0.1,1018.3,79,10.2
2020-02-01,-17.4,-23.6,0.2,1020.4,82,7.7
2020-02-02,-17.8,-24.3,0.5,1015.6,57,10.1
2020-02-03,-16.3,-23.6,0.0,1008.6,84,11.6
2020-02-04,-4.7,-21.4,1.8,999.7,100,9.1
2020-02-05,-2.5,-8.9,1.2,1005.0,81,11.8
2020-02-06,-4.1,-12.1,0.0,1003.3,33,11.3
2020-02-07,-1.5,-10.7,0.2,1001.5,90,19.1
2020-02-08,3.0,-6.6,1.3,998.0,95,22.7
2020-02-09,4.4,1.5,4.6,979.7,100,33.5
2020-02-10,2.4,-11.0,6.2,982.7,100,17.6
2020-02-11,-10.4,-20.1,0.0,1003.1,28,14.6
2020-02-12,-9.0,-12.8,2.3,1012.4,98,17.8
2020-02-13,-6.1,-16.1,0.2,1018.3,44,10.3
2020-02-14,-3.4,-15.2,0.0,1018.0,1,13.3
2020-02-15,-3.7,-13.8,0.0,1019.6,16,6.6
2020-02-16,-7.0,-16.7,0.0,1019.7,35,7.0
2020-02-17,-6.8,-17.1,0.0,1017.5,87,9.2
2020-02-18,-3.9,-11.2,0.2,1010.9,99,8.1
2020-02-19,-3.8,-10.8,0.4,1005.3,80,21.5
2020-02-20,-1.1,-5.3,0.5,1005.1,98,21.1
2020-02-21,-0.6,-3.4,0.9,1002.4,99,22.8
2020-02-22,-1.4,-5.5,1.3,998.9,96,10.1
2020-02-23,-2.9,-8.0,0.0,1006.7,78,6.6
2020-02-24,-5.0,-10.3,0.0,1012.6,45,5.1
2020-02-25,-7.5,-14.8,0.0,1011.2,39,6.6
2020-02-26,-4.4,-16.5,0.0,1012.3,57,7.9
2020-02-27,-6.1,-19.2,0.0,1003.8,25,15.2
2020-02-28,0.9,-12.8,2.3,994.9,97,20.3
2020-02-29,-0.6,-5.0,3.3,1006.8,88,26.3
2020-03-01,-4.5,-15.4,0.0,1015.6,43,13.2
2020-03-02,-5.7,-18.5,0.0,1011.0,43,16.5
2020-03-03,0.3,-13.3,0.0,997.5,98,15.6
2020-03-04,-1.2,-8.6,1.8,996.6,97,16.9
2020-03-05,0.2,-3.0,1.3,991.8,100,28.4
2020-03-06,-0.7,-17.9,2.8,995.6,75,21.6
