time,temperature_2m_max,temperature_2m_min,precipitation_sum,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max
2020-01-01,0.2,-8.1,4.5,984.6,90,21.7
2020-01-02,-0.4,-6.8,0.9,992.9,96,18.8
2020-01-03,1.3,-0.1,0.0,992.8,98,22.8
2020-01-04,-0.1,-2.0,0.3,986.5,97,22.0
2020-01-05,0.2,-1.6,0.1,991.8,93,17.9
2020-01-06,-1.2,-6.0,0.3,1006.2,93,10.9
2020-01-07,-3.8,-8.7,0.0,1009.1,77,10.1
2020-01-08,-2.9,-8.2,0.0,1007.2,85,21.1
2020-01-09,-1.0,-2.7,3.9,996.2,100,25.9
2020-01-10,0.4,-0.9,0.0,996.2,95,18.0
2020-01-11,-0.6,-5.2,0.0,998.2,96,15.1
2020-01-12,-0.9,-5.4,0.9,996.9,100,29.5
2020-01-13,1.0,-1.5,3.1,986.6,96,27.1
2020-01-14,0.0,-1.5,0.0,999.0,96,19.1
2020-01-15,1.1,-0.9,3.0,1004.5,97,32.5
2020-01-16,3.0,1.5,2.8,997.2,100,31.7
2020-01-17,3.0,0.9,0.2,1003.5,94,22.3
2020-01-18,1.6,0.1,0.0,1007.4,99,15.8
2020-01-19,0.4,-1.1,0.0,1006.4,99,19.5
2020-01-20,1.5,-0.6,0.5,1002.9,99,20.5
2020-01-21,1.4,0.1,6.7,987.6,100,23.4
2020-01-22,1.9,-5.2,1.6,974.5,57,25.9
2020-01-23,-3.3,-7.8,0.1,981.7,96,21.2
2020-01-24,-1.2,-11.6,1.2,986.2,82,22.1
2020-01-25,0.0,-1.5,2.0,976.1,94,22.7
2020-01-26,-1.5,-5.2,0.9,984.9,84,29.6
2020-01-27,-0.4,-10.7,2.4,991.6,96,29.0
2020-01-28,-8.4,-13.1,0.6,1004.0,100,19.7
2020-01-29,-2.2,-8.1,4.2,998.0,99,17.6
2020-01-30,-0.4,-3.2,2.7,992.0,99,19.7
2020-01-31,0.3,-2.3,2.9,984.2,96,18.5
2020-02-01,-0.7,-5.9,0.4,989.9,86,9.8
2020-02-02,1.0,-2.2,2.9,984.1,99,27.4
2020-02-03,2.3,0.2,3.7,967.1,98,26.3
2020-02-04,0.1,-5.2,1.2,970.4,88,20.0
2020-02-05,-4.8,-9.4,0.8,981.9,95,20.9
2020-02-06,-5.2,-12.9,3.3,985.2,82,24.2
2020-02-07,-5.4,-11.2,0.6,985.7,98,21.8
2020-02-08,-11.6,-17.5,0.0,1001.4,77,17.7
2020-02-09,-4.8,-17.8,0.0,1003.4,86,22.5
2020-02-10,0.2,-4.4,0.0,992.6,67,28.0
2020-02-11,-0.6,-6.4,0.2,985.6,85,28.9
2020-02-12,-0.4,-7.6,0.1,990.3,100,27.2
2020-02-13,-5.9,-12.1,0.0,994.7,100,15.3
2020-02-14,-7.0,-14.1,0.0,1000.7,85,9.8
2020-02-15,-0.5,-6.8,1.9,1007.4,94,11.0
2020-02-16,-1.2,-6.4,0.0,1011.4,88,23.7
2020-02-17,3.0,-1.6,1.7,997.2,100,33.7
2020-02-18,3.8,1.1,0.0,993.2,93,27.8
2020-02-19,2.3,0.8,0.5,992.3,96,17.6
2020-02-20,2.5,-2.3,0.2,999.2,49,15.0
2020-02-21,2.4,-3.2,0.0,1006.0,22,11.7
2020-02-22,2.7,-5.2,0.0,1008.3,3,20.2
2020-02-23,0.1,-3.0,3.2,989.7,87,34.0
2020-02-24,2.2,-1.1,0.3,979.7,97,19.2
2020-02-25,0.5,-4.2,1.2,980.9,89,19.6
2020-02-26,0.6,-7.8,1.7,984.4,42,20.9
2020-02-27,1.5,0.2,3.1,983.7,100,16.1
2020-02-28,2.5,-1.2,8.2,981.2,100,15.8
2020-02-29,0.8,-3.5,1.0,986.4,77,22.8
2020-03-01,1.4,-7.9,0.0,996.7,44,22.3
2020-03-02,2.2,1.2,3.8,997.5,100,26.9
2020-03-03,2.5,0.2,0.4,1001.0,100,19.1
2020-03-04,2.2,-1.0,0.7,1003.1,99,11.5
2020-03-05,2.9,-2.5,0.0,1009.9,94,23.8
2020-03-06,3.0,-0.4,0.2,1004.7,100,25.6
2020-03-07,5.2,1.9,0.1,1002.6,99,20.8
2020-03-08,6.2,1.8,1.9,999.9,100,15.5
2020-03-09,5.3,-3.2,0.0,1004.5,56,11.9
2020-03-10,9.7,-5.2,4.1,999.1,80,19.4
2020-03-11,10.7,1.6,1.8,988.8,84,16.6
2020-03-12,8.5,3.8,5.5,979.2,73,25.2
2020-03-13,7.3,2.6,5.8,974.4,79,42.7
2020-03-14,5.7,-1.9,0.2,983.2,51,26.4
2020-03-15,2.0,-2.8,3.9,988.5,70,23.8
2020-03-16,3.0,-6.0,0.0,1003.2,39,20.3
2020-03-17,5.2,-0.2,0.0,1003.7,89,20.6
2020-03-18,8.2,-0.1,0.2,1004.5,84,27.6
2020-03-19,8.1,1.8,4.0,991.3,74,28.7
2020-03-20,4.9,-0.3,1.4,992.4,62,20.1
2020-03-21,0.9,-4.7,0.0,999.9,54,20.0
2020-03-22,0.2,-6.6,0.0,1013.8,26,19.4
2020-03-23,1.5,-6.4,0.0,1018.6,35,27.2
2020-03-24,-1.4,-3.5,2.4,1011.5,98,28.0
2020-03-25,8.6,-3.1,0.1,1012.9,54,23.2
2020-03-26,12.1,0.9,0.0,1011.4,18,21.9
2020-03-27,12.6,-2.0,0.0,1015.0,53,13.3
2020-03-28,15.3,0.1,0.0,1008.4,55,16.9
2020-03-29,15.1,3.6,0.0,996.5,85,19.5
2020-03-30,13.4,1.4,0.6,989.8,100,18.6
2020-03-31,0.9,-3.2,10.5,990.2,99,16.0
2020-04-01,1.5,-4.7,0.5,988.3,65,21.1
2020-04-02,4.2,-2.2,0.8,986.5,90,25.7
2020-04-03,9.7,0.7,0.0,991.8,67,28.8
2020-04-04,9.9,2.5,0.4,994.5,48,22.6
2020-04-05,7.3,-3.3,0.3,1002.4,39,22.1
