time,temperature_2m_max,temperature_2m_min,precipitation_sum,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max
2020-01-01,-3.9,-15.1,2.4,995.1,97,32.1
2020-01-02,0.1,-3.7,6.6,994.9,100,31.4
2020-01-03,-2.2,-4.2,0.3,995.9,99,26.8
2020-01-04,-1.9,-8.4,0.5,1000.5,79,24.6
2020-01-05,-3.0,-4.8,0.7,999.3,99,26.1
2020-01-06,-3.6,-6.2,0.0,1003.0,100,21.1
2020-01-07,-6.1,-7.7,0.6,1005.5,100,13.4
2020-01-08,-7.7,-10.1,0.7,1009.1,97,10.1
2020-01-09,-10.2,-14.8,1.2,1010.6,96,8.6
2020-01-10,-14.8,-18.9,0.0,1011.5,78,12.6
2020-01-11,-15.4,-18.9,0.0,1008.0,96,16.5
2020-01-12,-14.4,-17.1,0.0,998.1,59,17.0
2020-01-13,-13.0,-15.4,0.3,995.3,95,13.7
2020-01-14,-10.1,-13.6,0.0,996.6,95,24.1
2020-01-15,-5.7,-9.7,2.5,997.9,98,23.6
2020-01-16,-4.8,-7.1,2.5,998.4,97,24.7
2020-01-17,-3.8,-9.8,6.6,990.7,100,38.3
2020-01-18,-2.8,-17.5,2.2,996.3,70,29.5
2020-01-19,-5.7,-16.1,2.6,991.6,98,24.0
2020-01-20,-12.4,-22.5,0.0,1001.3,42,16.5
2020-01-21,-20.1,-23.5,0.0,999.3,33,12.8
2020-01-22,-9.0,-22.7,1.0,997.9,67,18.5
2020-01-23,-3.2,-8.8,1.9,992.6,97,33.2
2020-01-24,-0.6,-3.0,3.3,986.9,100,32.0
2020-01-25,-0.2,-6.8,4.0,983.7,93,32.8
2020-01-26,-6.2,-11.8,0.2,995.1,79,25.7
2020-01-27,-3.5,-12.4,1.1,991.2,97,32.0
2020-01-28,-2.8,-5.8,2.1,989.3,96,31.3
2020-01-29,-4.3,-18.2,3.9,997.6,100,26.4
2020-01-30,-18.7,-25.1,0.2,1016.3,81,16.6
2020-01-31,-21.1,-25.8,0.0,1016.9,85,8.9
2020-02-01,-17.8,-23.8,0.0,1014.3,67,11.0
2020-02-02,-14.4,-20.5,0.0,1005.0,5,15.0
2020-02-03,-8.9,-15.6,0.0,996.0,67,20.1
2020-02-04,-4.8,-9.1,3.2,994.4,97,14.3
2020-02-05,-2.5,-7.8,0.0,1000.2,68,16.0
2020-02-06,-0.7,-4.4,1.3,993.6,69,33.4
2020-02-07,-3.2,-6.6,2.0,998.1,94,28.0
2020-02-08,2.6,-7.3,6.7,987.7,100,34.1
2020-02-09,2.3,-1.8,10.1,977.8,100,23.7
2020-02-10,-2.6,-19.4,0.9,988.2,62,20.2
2020-02-11,-16.6,-25.0,0.0,1002.9,6,17.9
2020-02-12,-13.8,-19.1,0.0,1011.3,47,18.6
2020-02-13,-10.1,-19.1,0.0,1010.4,13,21.3
2020-02-14,-6.8,-11.9,0.0,1011.9,98,18.9
2020-02-15,-6.2,-11.1,0.0,1015.0,80,12.7
2020-02-16,-6.9,-14.9,0.0,1014.6,82,15.5
2020-02-17,-4.2,-8.1,0.9,1010.0,100,20.8
2020-02-18,-5.0,-8.4,1.0,1005.3,98,21.1
2020-02-19,-4.8,-8.6,3.9,998.6,99,31.1
2020-02-20,-0.9,-4.5,3.7,1000.6,98,22.4
2020-02-21,-3.8,-5.3,3.2,999.4,100,23.3
2020-02-22,-3.1,-6.9,0.8,998.5,98,9.7
2020-02-23,-1.5,-5.9,0.4,1004.1,84,7.5
2020-02-24,-2.8,-7.1,0.0,1008.1,80,7.9
2020-02-25,-5.1,-9.4,0.0,1006.5,55,9.7
2020-02-26,-5.7,-12.9,0.0,1007.2,41,16.3
2020-02-27,-2.2,-8.8,3.2,988.3,81,21.1
2020-02-28,-0.9,-3.3,2.2,994.7,96,28.7
2020-02-29,1.0,-2.9,4.1,1006.5,97,16.8
2020-03-01,1.5,-2.2,0.0,1009.9,69,13.8
2020-03-02,2.0,-3.3,0.0,996.7,97,16.7
2020-03-03,-0.1,-4.7,0.0,996.2,62,12.8
2020-03-04,-1.6,-7.8,0.9,995.8,87,23.5
2020-03-05,-1.5,-5.8,7.8,991.0,96,25.8
2020-03-06,-7.6,-14.6,0.0,999.6,46,13.8
2020-03-07,-13.3,-20.5,0.0,1013.7,46,30.5
2020-03-08,-3.7,-13.8,2.6,1004.8,98,32.1
2020-03-09,-3.2,-7.1,5.6,998.4,99,25.3
