time,temperature_2m_max,temperature_2m_min,precipitation_sum,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max
2020-01-01,2.0,-4.0,1.8,1006.6,66,24.7
2020-01-02,3.3,2.1,0.6,1002.1,73,34.2
2020-01-03,4.2,1.9,0.2,997.4,75,31.5
2020-01-04,4.2,0.0,2.1,988.1,55,30.7
2020-01-05,0.5,-6.8,0.3,1008.6,57,27.0
2020-01-06,1.1,-5.4,0.7,1016.2,100,21.7
2020-01-07,2.9,0.8,0.4,1015.3,100,22.9
2020-01-08,4.2,1.1,1.2,1006.3,100,33.7
2020-01-09,4.6,1.4,0.2,1002.4,26,30.5
2020-01-10,1.6,-1.5,0.0,1010.3,66,22.2
2020-01-11,0.8,-1.5,0.0,1014.7,43,24.1
2020-01-12,4.1,0.2,11.3,998.9,98,36.0
2020-01-13,3.3,0.7,0.4,1002.8,85,27.8
2020-01-14,2.2,1.0,0.0,1009.8,82,26.9
2020-01-15,7.2,1.6,4.5,1001.5,100,40.1
2020-01-16,7.2,1.9,9.4,1005.8,99,32.1
2020-01-17,4.6,3.4,0.0,1017.6,99,27.7
2020-01-18,3.6,-0.3,0.1,1014.9,94,23.2
2020-01-19,4.6,1.9,0.4,1015.5,97,33.5
2020-01-20,3.1,1.6,0.0,1019.9,95,33.0
2020-01-21,4.7,1.6,0.2,1003.1,69,41.5
2020-01-22,1.6,-2.5,0.0,999.7,25,30.5
2020-01-23,0.6,-3.2,1.4,1010.3,49,27.7
2020-01-24,2.5,0.4,1.7,997.2,69,32.6
2020-01-25,1.5,-1.6,1.3,995.6,56,31.9
2020-01-26,2.8,-1.9,4.2,1002.8,85,34.0
2020-01-27,-0.9,-5.1,0.9,1011.9,100,18.3
2020-01-28,0.0,-4.2,0.7,1006.1,100,17.1
2020-01-29,-0.1,-1.2,0.2,1002.8,99,21.4
2020-01-30,0.8,-1.7,0.0,1003.2,100,18.3
2020-01-31,-1.8,-4.1,0.4,1000.9,96,14.8
2020-02-01,0.4,-4.8,1.4,997.9,94,25.1
2020-02-02,3.5,0.5,5.5,980.3,100,24.9
2020-02-03,0.9,-2.1,0.2,982.5,94,34.4
2020-02-04,-1.8,-7.0,0.0,994.0,45,29.0
2020-02-05,-0.9,-7.7,4.2,1006.1,53,28.4
2020-02-06,0.4,-6.6,4.1,1002.0,43,30.3
2020-02-07,-3.7,-9.2,0.4,1018.8,61,24.2
2020-02-08,-0.8,-3.9,1.4,1016.9,99,15.1
2020-02-09,2.2,-0.2,0.5,1008.7,98,24.6
2020-02-10,3.2,-0.1,1.8,980.0,99,37.2
2020-02-11,3.5,0.4,3.2,975.8,81,34.2
2020-02-12,2.8,-0.8,0.2,986.8,95,18.8
2020-02-13,2.7,-0.6,1.6,995.5,86,23.1
2020-02-14,2.0,-1.3,0.1,1009.6,87,22.5
2020-02-15,2.2,-1.0,1.6,1017.8,95,30.4
2020-02-16,2.5,0.9,10.3,1006.4,99,31.7
2020-02-17,6.2,2.8,13.3,988.7,95,45.2
2020-02-18,4.8,3.4,2.9,993.2,96,39.7
2020-02-19,4.6,2.0,1.1,997.8,92,30.9
2020-02-20,2.2,-0.4,1.0,1009.8,94,21.5
2020-02-21,3.7,-0.2,0.3,1010.3,88,32.5
2020-02-22,4.3,1.6,8.4,999.4,97,39.7
2020-02-23,4.8,1.5,4.4,979.5,90,39.3
2020-02-24,1.8,0.1,0.2,987.5,71,35.5
2020-02-25,0.2,-3.8,0.4,996.9,28,30.0
2020-02-26,0.2,-4.8,0.5,993.6,99,24.5
2020-02-27,-2.0,-5.1,0.0,997.9,88,24.7
2020-02-28,-2.0,-5.6,1.3,995.8,96,21.8
2020-02-29,-0.8,-5.3,0.0,999.5,54,25.4
2020-03-01,2.4,-1.9,6.4,994.9,93,28.7
2020-03-02,5.2,-1.0,1.3,998.1,68,28.1
2020-03-03,2.2,-2.5,2.2,1008.3,100,16.9
2020-03-04,3.2,1.1,8.9,1013.7,100,28.6
2020-03-05,5.2,1.3,14.0,1004.2,100,26.7
2020-03-06,3.1,0.6,0.3,1005.6,90,19.4
2020-03-07,3.4,-1.3,0.2,1012.6,98,13.3
2020-03-08,3.4,-2.0,0.1,1013.0,58,12.1
2020-03-09,7.1,-2.6,0.0,1013.8,41,18.5
2020-03-10,7.4,0.3,0.4,1006.6,81,21.2
2020-03-11,6.8,2.7,2.5,992.1,96,26.2
2020-03-12,5.1,2.0,3.7,982.3,93,34.7
2020-03-13,3.0,-0.6,8.5,982.1,86,35.1
2020-03-14,-1.1,-5.3,0.0,1003.4,65,29.7
2020-03-15,3.8,-6.3,0.0,1016.9,13,25.8
2020-03-16,3.7,-0.6,2.6,1008.9,90,33.9
2020-03-17,4.2,-4.8,0.0,1017.5,51,27.8
2020-03-18,5.3,2.2,6.5,1008.3,99,27.5
2020-03-19,4.0,0.6,5.2,1005.4,65,29.0
2020-03-20,2.8,-3.5,0.6,1016.1,52,15.5
2020-03-21,1.3,-5.5,0.1,1026.4,30,16.4
2020-03-22,1.5,-5.3,0.0,1038.2,4,11.4
2020-03-23,3.0,-5.8,0.0,1040.0,1,11.7
2020-03-24,5.7,-2.8,0.0,1032.0,57,29.8
2020-03-25,10.6,1.6,0.0,1024.1,36,35.9
2020-03-26,7.1,2.6,0.0,1028.3,42,33.3
2020-03-27,6.7,1.1,0.0,1030.4,34,18.9
2020-03-28,8.1,1.1,0.0,1017.8,58,24.8
2020-03-29,3.6,-4.1,0.0,1016.8,77,20.0
2020-03-30,1.8,-5.6,0.1,1019.3,20,16.0
2020-03-31,1.6,-6.0,0.1,1018.1,37,25.5
2020-04-01,3.7,-1.3,3.5,996.0,65,35.1
2020-04-02,4.2,-2.2,3.1,991.3,80,30.3
2020-04-03,5.5,1.8,3.8,983.8,75,40.6
2020-04-04,3.6,0.2,0.8,1007.0,31,34.0
2020-04-05,3.5,-2.8,0.3,1023.0,20,31.8
2020-04-06,3.2,-2.4,0.5,1030.6,86,13.8
2020-04-07,15.9,0.3,0.0,1021.9,64,26.7
2020-04-08,8.7,4.2,1.0,1017.8,55,26.0
2020-04-09,7.6,2.0,0.4,1006.3,71,29.1
2020-04-10,4.7,0.1,0.3,1012.5,34,24.9
2020-04-11,4.2,-1.7,0.8,1017.9,59,27.2
2020-04-12,5.3,-2.5,5.5,1013.0,82,32.8
2020-04-13,8.4,1.0,4.3,992.8,83,33.0
2020-04-14,3.6,-0.8,3.3,995.3,60,26.1
2020-04-15,4.2,-0.3,0.2,996.6,36,17.6
2020-04-16,6.9,-1.0,0.0,991.3,71,22.9
2020-04-17,5.7,0.9,0.5,996.3,56,34.5
2020-04-18,5.6,1.4,3.7,1004.2,78,27.1
2020-04-19,6.6,0.4,0.2,1014.1,77,20.9
2020-04-20,8.2,2.6,0.3,1021.1,90,15.6
2020-04-21,11.1,3.9,0.3,1025.0,82,18.9
2020-04-22,8.6,2.9,0.0,1024.5,50,21.4
2020-04-23,9.6,0.6,0.0,1013.3,56,24.8
2020-04-24,6.6,0.6,0.7,1001.3,83,20.1
2020-04-25,4.8,-1.8,0.0,999.1,57,25.2
2020-04-26,6.1,1.4,0.4,1000.4,63,26.9
2020-04-27,6.5,0.2,3.8,1006.6,64,17.6
2020-04-28,7.8,0.0,0.5,1006.3,83,21.5
2020-04-29,4.9,0.6,5.2,1002.3,98,28.8
2020-04-30,5.7,-1.1,0.1,1014.1,33,12.5
2020-05-01,9.5,-1.2,0.0,1016.7,29,20.6
2020-05-02,15.9,2.3,0.0,1010.9,87,23.8
2020-05-03,11.4,4.8,5.3,1006.7,62,22.3
2020-05-04,10.6,3.8,1.1,1013.0,39,21.3
2020-05-05,15.0,1.5,0.0,1014.8,63,18.0
2020-05-06,16.1,5.7,0.0,1007.1,32,27.3
2020-05-07,10.8,6.1,0.0,1004.7,48,32.1
2020-05-08,10.8,3.8,0.1,1011.1,41,16.3
2020-05-09,12.5,5.9,0.3,1009.9,21,24.5
2020-05-10,14.4,3.7,0.0,1011.9,26,16.0
2020-05-11,19.6,4.2,3.4,999.1,78,30.9
2020-05-12,8.4,2.0,2.2,999.8,100,26.5
2020-05-13,9.4,2.7,0.9,1004.6,59,16.6
2020-05-14,8.4,3.3,5.4,1005.7,84,27.8
2020-05-15,9.4,3.4,4.9,1006.5,75,25.8
2020-05-16,10.8,3.2,6.6,1002.2,79,25.5
2020-05-17,8.6,4.0,2.4,1001.1,74,33.0
2020-05-18,7.8,4.8,3.7,1002.6,78,25.8
2020-05-19,9.4,3.9,0.3,1009.3,54,21.6
2020-05-20,11.1,2.3,1.8,1011.0,66,25.7
2020-05-21,7.7,2.2,14.4,1013.7,99,26.2
