time,temperature_2m_max,temperature_2m_min,precipitation_sum,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max
2020-01-01,-0.6,-1.9,0.3,984.9,98,13.6
2020-01-02,-0.8,-15.1,0.5,997.1,50,20.5
2020-01-03,-1.1,-15.4,0.0,1003.1,95,20.4
2020-01-04,-0.5,-1.2,0.0,998.2,100,23.9
2020-01-05,0.6,-0.3,0.5,998.5,100,20.7
2020-01-06,0.4,-4.8,0.6,1007.5,98,9.8
2020-01-07,-1.5,-6.3,3.4,1011.2,96,8.6
2020-01-08,-4.6,-7.7,0.0,1014.9,96,7.5
2020-01-09,-3.0,-6.1,0.4,1010.3,93,18.3
2020-01-10,-3.5,-4.6,0.2,1003.7,99,16.2
2020-01-11,-2.5,-4.8,0.2,1002.2,96,10.0
2020-01-12,-3.1,-4.3,0.0,1003.1,99,15.6
2020-01-13,-2.4,-4.4,4.6,995.1,100,25.7
2020-01-14,0.4,-2.2,0.1,999.7,85,14.0
2020-01-15,-0.6,-3.1,0.0,1011.8,97,19.6
2020-01-16,1.7,-3.8,3.8,1007.9,99,28.8
2020-01-17,1.4,0.4,9.3,1005.1,97,25.9
2020-01-18,0.9,-2.6,0.0,1010.4,68,9.2
2020-01-19,0.2,-2.0,0.1,1010.7,91,22.0
2020-01-20,-0.7,-1.9,0.5,1006.3,96,18.4
2020-01-21,0.8,-1.8,0.6,995.9,88,23.0
2020-01-22,2.2,-1.5,7.5,977.5,93,24.8
2020-01-23,-1.8,-5.6,0.4,980.0,84,14.0
2020-01-24,-5.9,-10.2,0.0,991.9,81,18.4
2020-01-25,0.6,-10.5,3.6,983.4,98,21.1
2020-01-26,-0.4,-4.3,6.1,982.0,97,25.2
2020-01-27,0.8,-6.5,2.9,990.8,89,30.5
2020-01-28,-7.3,-14.1,0.0,1008.1,92,15.8
2020-01-29,-7.6,-12.6,3.6,1009.1,100,11.8
2020-01-30,-0.1,-8.0,4.6,1001.6,100,15.6
2020-01-31,0.4,-1.1,6.5,995.7,100,20.9
2020-02-01,0.6,-1.2,0.0,995.4,98,10.6
2020-02-02,0.1,-1.6,0.7,995.9,90,20.8
2020-02-03,2.2,0.4,13.9,979.8,100,24.5
2020-02-04,2.0,-1.3,0.6,976.7,86,24.5
2020-02-05,-1.8,-5.2,0.1,986.4,54,22.9
2020-02-06,-5.4,-12.1,0.0,993.8,54,15.4
2020-02-07,-9.9,-15.1,0.0,987.4,95,9.8
2020-02-08,-8.7,-14.4,0.4,995.1,96,17.1
2020-02-09,-13.9,-21.0,0.0,1008.4,16,13.2
2020-02-10,-6.1,-15.4,0.2,1004.6,92,20.2
2020-02-11,-4.9,-8.4,0.1,1002.0,74,19.7
2020-02-12,-5.1,-11.1,0.0,1003.3,56,12.6
2020-02-13,-5.5,-13.1,0.0,999.8,68,10.1
2020-02-14,-7.2,-14.4,0.0,1001.3,45,11.8
2020-02-15,-6.9,-13.9,0.0,1011.0,57,9.0
2020-02-16,-2.7,-10.2,0.0,1018.5,88,8.2
2020-02-17,0.9,-5.3,0.6,1015.7,95,31.3
2020-02-18,1.6,-0.2,1.3,1006.7,100,32.4
2020-02-19,1.7,0.8,1.7,1000.6,100,22.7
2020-02-20,2.7,-3.9,0.0,1003.6,75,11.0
2020-02-21,0.9,-6.7,0.0,1009.6,65,5.8
2020-02-22,-2.2,-6.9,0.0,1014.9,100,7.1
2020-02-23,-0.3,-5.4,2.2,1007.0,99,23.6
2020-02-24,2.0,-0.5,4.0,990.0,95,22.0
2020-02-25,2.0,0.9,7.9,985.0,100,23.4
2020-02-26,1.0,-3.5,0.8,988.2,51,26.0
2020-02-27,4.0,-2.5,1.3,993.9,90,19.6
2020-02-28,5.2,2.5,1.4,992.4,98,21.9
2020-02-29,3.2,-2.0,2.0,991.1,81,23.4
2020-03-01,2.0,-4.1,0.0,1004.0,30,14.7
2020-03-02,4.0,-5.8,0.0,1011.0,78,17.3
2020-03-03,3.5,-4.0,0.0,1011.7,76,16.0
2020-03-04,2.0,-2.5,1.0,1006.1,84,9.7
2020-03-05,3.2,-1.7,0.0,1013.2,68,12.3
2020-03-06,1.9,-4.2,0.0,1018.5,66,18.0
