time,temperature_2m_max,temperature_2m_min,precipitation_sum,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max
2020-01-01,-1.4,-4.0,1.0,978.1,94,18.4
2020-01-02,-2.7,-14.8,1.6,987.3,68,17.6
2020-01-03,-7.8,-16.7,0.3,997.2,84,22.1
2020-01-04,-1.3,-7.3,1.0,991.4,100,22.2
2020-01-05,-0.3,-2.3,0.2,992.7,100,18.8
2020-01-06,0.0,-3.0,0.5,1000.3,95,11.8
2020-01-07,-2.5,-5.5,1.1,1006.1,97,11.8
2020-01-08,-2.3,-6.8,1.6,1007.4,98,12.9
2020-01-09,-3.6,-8.9,0.2,1005.2,92,18.5
2020-01-10,-4.3,-9.9,1.6,998.9,99,20.0
2020-01-11,-5.8,-10.4,1.4,995.6,96,15.2
2020-01-12,-3.1,-5.6,0.8,994.8,97,14.0
2020-01-13,-3.9,-5.7,5.7,986.8,100,28.2
2020-01-14,-1.6,-5.4,0.9,987.7,91,22.2
2020-01-15,-0.8,-4.8,0.6,1001.1,95,15.3
2020-01-16,1.5,-4.2,6.9,996.8,99,26.0
2020-01-17,2.0,0.2,5.8,993.6,100,22.7
2020-01-18,0.6,-3.0,0.7,1001.1,92,16.1
2020-01-19,0.9,-0.3,0.8,1002.2,96,15.7
2020-01-20,0.2,-0.9,3.0,995.8,100,15.9
2020-01-21,-0.9,-2.0,2.6,988.4,97,18.4
2020-01-22,-0.3,-1.9,9.8,969.3,98,27.1
2020-01-23,-0.9,-5.2,0.2,970.6,97,23.0
2020-01-24,-4.8,-10.0,0.3,980.7,94,15.5
2020-01-25,-5.1,-10.7,3.3,977.9,98,21.4
2020-01-26,-3.2,-7.8,2.1,972.3,72,15.6
2020-01-27,-6.2,-10.9,1.4,980.6,85,18.7
2020-01-28,-11.3,-20.4,0.0,998.6,54,17.1
2020-01-29,-14.1,-22.8,0.0,1008.1,93,13.0
2020-01-30,-4.1,-15.2,3.7,1002.6,96,18.0
2020-01-31,-1.7,-4.2,0.0,996.1,100,22.0
2020-02-01,-3.3,-6.5,8.3,991.6,100,21.3
2020-02-02,-2.5,-6.9,0.6,991.7,97,14.5
2020-02-03,0.6,-4.0,3.7,981.5,100,33.0
2020-02-04,2.5,0.5,5.4,971.0,100,28.2
2020-02-05,0.6,-3.8,3.5,976.6,84,20.7
2020-02-06,-4.0,-10.7,0.5,985.1,83,18.1
2020-02-07,-9.0,-16.3,0.0,983.6,80,9.0
2020-02-08,-11.2,-14.8,0.4,984.5,95,14.6
2020-02-09,-14.6,-20.5,0.0,997.6,39,15.0
2020-02-10,-10.5,-19.5,1.9,996.6,94,20.2
2020-02-11,-5.6,-10.1,0.5,995.3,98,16.9
2020-02-12,-4.2,-11.4,0.0,998.5,71,11.9
2020-02-13,-3.2,-8.8,1.1,994.8,100,14.1
2020-02-14,-6.2,-12.9,0.4,996.4,91,13.7
2020-02-15,-6.5,-8.7,0.9,1002.0,96,11.5
2020-02-16,-7.1,-12.3,0.0,1011.4,59,10.9
2020-02-17,-6.1,-11.3,0.0,1012.0,88,28.2
2020-02-18,0.8,-5.3,12.7,997.9,100,28.7
2020-02-19,1.2,0.4,9.6,994.8,100,23.5
2020-02-20,2.1,-0.6,1.4,995.9,93,18.7
2020-02-21,2.4,-1.5,0.0,1002.0,87,10.7
2020-02-22,1.8,-3.8,0.2,1007.4,78,9.8
2020-02-23,-1.5,-4.8,0.6,1005.5,80,22.1
2020-02-24,-0.3,-4.3,3.3,989.0,99,30.2
2020-02-25,2.2,-1.1,0.7,986.9,99,21.7
2020-02-26,1.2,-2.5,6.8,976.1,96,30.4
2020-02-27,1.6,-5.1,3.7,989.5,88,25.0
2020-02-28,4.1,1.1,2.8,992.0,96,29.3
2020-02-29,2.5,0.6,0.0,988.2,97,30.7
2020-03-01,1.9,-3.8,0.0,995.6,67,13.0
2020-03-02,2.0,-8.4,0.0,1003.8,22,20.0
2020-03-03,2.4,-1.5,0.0,1005.6,94,19.7
2020-03-04,1.2,-5.4,0.0,1003.0,76,15.6
2020-03-05,0.2,-6.4,0.0,1007.4,34,14.3
2020-03-06,0.4,-11.7,0.0,1016.7,30,20.9
2020-03-07,-2.2,-9.7,0.0,1015.0,79,25.7
2020-03-08,-1.2,-6.8,0.5,1010.9,98,25.9
2020-03-09,2.0,-1.4,9.0,1004.1,98,20.1
2020-03-10,3.5,0.3,1.0,1003.1,90,11.6
2020-03-11,6.8,0.1,0.8,999.1,65,20.9
2020-03-12,5.3,1.1,0.0,990.7,67,27.0
2020-03-13,5.3,2.7,2.1,983.6,92,28.5
2020-03-14,4.8,0.1,1.7,982.1,63,23.7
2020-03-15,3.3,-0.8,5.9,983.7,92,20.2
2020-03-16,0.4,-4.0,6.5,993.2,78,22.2
2020-03-17,2.2,-4.5,0.5,998.1,50,17.7
2020-03-18,4.2,-1.8,0.0,1004.4,69,17.5
2020-03-19,4.8,-0.3,0.0,995.4,71,25.0
2020-03-20,3.5,0.5,9.1,983.5,99,21.4
2020-03-21,2.3,-4.8,0.2,985.3,52,18.6
2020-03-22,0.1,-7.1,0.5,1001.5,68,17.1
2020-03-23,-0.3,-7.1,3.6,1011.7,100,18.7
2020-03-24,5.7,-1.9,2.2,1012.8,100,15.5
2020-03-25,3.2,0.2,0.5,1013.2,100,20.4
2020-03-26,5.1,-5.1,0.0,1006.6,63,19.2
2020-03-27,7.8,-3.0,0.0,1005.9,10,13.4
2020-03-28,10.2,-6.0,0.0,1008.1,47,12.7
2020-03-29,9.9,-2.5,0.0,1002.3,87,17.2
2020-03-30,11.8,1.5,0.0,996.6,73,18.1
2020-03-31,12.3,-1.6,0.0,991.0,92,17.3
2020-04-01,13.0,1.1,0.4,981.8,90,19.9
2020-04-02,4.4,-2.2,0.1,987.4,74,26.3
2020-04-03,9.6,-1.1,0.0,997.7,43,20.0
2020-04-04,4.4,-2.7,4.4,996.4,86,9.4
2020-04-05,11.1,-1.7,5.2,992.8,92,13.3
2020-04-06,4.8,-1.6,0.6,991.2,79,18.2
2020-04-07,3.8,-2.8,0.3,995.2,44,30.1
2020-04-08,3.2,-4.2,0.4,995.1,61,18.6
2020-04-09,12.4,-2.1,0.0,995.3,75,18.2
2020-04-10,12.8,4.6,0.3,998.0,10,26.9
2020-04-11,12.1,2.6,0.1,997.0,48,28.0
2020-04-12,11.9,2.2,0.0,988.6,82,16.3
2020-04-13,8.7,0.4,1.9,985.6,51,13.1
2020-04-14,7.2,0.9,9.6,989.9,92,16.8
2020-04-15,15.4,-0.4,0.0,992.1,81,23.3
2020-04-16,10.9,3.2,6.4,985.9,100,27.0
2020-04-17,8.1,1.1,3.4,981.8,79,33.0
2020-04-18,8.2,3.0,3.0,984.1,67,24.5
2020-04-19,10.9,0.5,0.4,995.3,30,17.1
2020-04-20,12.2,0.2,2.4,997.7,85,11.5
2020-04-21,18.8,2.4,1.6,990.9,96,22.7
2020-04-22,12.1,4.2,3.5,977.0,76,27.5
2020-04-23,4.3,-0.7,3.1,978.5,82,24.3
2020-04-24,4.0,-1.4,1.3,985.5,64,19.5
2020-04-25,13.6,-2.4,3.2,987.5,74,32.9
2020-04-26,16.8,8.6,0.0,990.3,73,29.3
2020-04-27,16.4,5.4,0.0,985.7,90,18.6
2020-04-28,15.9,7.3,1.0,981.1,56,25.1
2020-04-29,10.6,4.4,0.5,985.4,72,27.7
2020-04-30,13.2,6.8,7.6,987.9,98,27.2
2020-05-01,16.5,6.8,0.0,994.9,81,15.1
2020-05-02,11.7,4.8,1.4,994.8,57,16.9
2020-05-03,14.1,0.6,0.0,1001.2,34,12.4
2020-05-04,18.7,1.4,0.0,1004.5,5,11.1
2020-05-05,23.2,5.2,0.0,1006.0,21,12.8
2020-05-06,23.5,7.7,0.0,1003.5,20,15.3
2020-05-07,24.6,9.1,0.0,998.2,39,16.2
2020-05-08,26.0,10.8,0.0,995.7,22,16.4
2020-05-09,27.1,9.4,0.0,992.5,26,18.1
2020-05-10,22.0,14.3,0.1,989.3,64,19.4
2020-05-11,19.0,12.1,0.4,991.3,97,13.8
2020-05-12,14.3,11.2,14.3,986.8,88,20.6
2020-05-13,19.8,9.8,3.7,989.4,64,19.8
2020-05-14,15.1,10.0,0.8,991.7,70,17.7
2020-05-15,16.3,5.1,0.5,991.3,69,13.7
2020-05-16,15.8,9.1,1.8,986.1,74,20.3
2020-05-17,14.1,8.4,0.2,991.3,55,13.0
2020-05-18,17.0,5.2,0.2,990.8,29,8.7
2020-05-19,18.4,6.9,0.0,985.1,60,11.4
2020-05-20,12.8,6.5,0.3,981.6,71,22.4
2020-05-21,14.8,3.4,0.0,985.8,39,17.8
2020-05-22,18.3,6.0,0.6,990.0,47,24.5
2020-05-23,19.4,6.9,4.1,995.0,90,17.8
2020-05-24,26.9,12.9,0.1,994.1,82,22.1
2020-05-25,16.5,9.4,4.0,1003.6,65,25.2
2020-05-26,22.5,6.3,0.0,1008.9,49,17.0
2020-05-27,29.9,14.4,0.0,1000.6,26,22.0
2020-05-28,22.0,14.8,0.0,999.8,19,17.2
2020-05-29,23.1,10.9,0.0,1001.7,0,15.5
2020-05-30,26.1,11.9,0.0,997.5,1,9.8
2020-05-31,29.5,14.0,1.0,986.1,52,21.0
2020-06-01,22.1,14.1,1.6,989.0,36,25.3
2020-06-02,17.3,10.1,0.1,997.2,81,13.2
2020-06-03,22.1,10.0,0.0,997.7,34,14.8
2020-06-04,25.0,11.5,0.0,997.3,62,15.7
2020-06-05,22.5,14.5,1.3,1002.2,78,17.1
2020-06-06,25.2,12.4,0.6,1001.2,58,20.0
2020-06-07,24.3,13.6,0.8,1000.6,59,17.7
2020-06-08,25.0,15.4,3.2,1001.2,62,19.0
2020-06-09,28.9,14.3,0.0,1003.4,21,18.4
2020-06-10,28.8,14.4,0.1,1003.1,56,16.2
2020-06-11,26.3,17.5,1.4,997.6,78,17.8
2020-06-12,26.8,15.2,1.5,991.5,58,22.4
2020-06-13,18.5,10.6,0.0,995.7,46,19.9
2020-06-14,18.9,8.9,0.0,1002.0,14,17.9
2020-06-15,22.0,8.2,0.0,1004.5,30,13.6
2020-06-16,25.0,11.9,0.0,1000.7,23,8.8
2020-06-17,26.0,14.2,0.0,994.5,42,16.8
2020-06-18,20.0,12.3,0.0,996.7,6,19.8
2020-06-19,20.3,9.6,0.0,1001.0,9,12.3
2020-06-20,25.8,10.4,1.3,994.3,14,20.5
2020-06-21,19.2,12.4,0.3,991.1,29,22.1
2020-06-22,15.6,9.9,0.0,995.4,80,14.3
2020-06-23,20.3,9.5,0.0,997.5,67,10.0
2020-06-24,22.1,13.4,3.1,992.5,73,23.8
2020-06-25,15.1,10.8,0.1,992.9,50,21.7
2020-06-26,15.0,7.7,2.8,993.6,61,21.8
2020-06-27,19.0,7.8,7.3,989.0,76,16.2
2020-06-28,17.1,12.6,3.1,982.2,62,26.8
2020-06-29,16.8,10.2,0.3,986.1,47,14.2
