time,temperature_2m_max,temperature_2m_min,precipitation_sum,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max
2020-01-01,-2.8,-9.1,0.6,963.4,98,18.9
2020-01-02,-5.1,-12.4,2.0,973.7,82,14.7
2020-01-03,-8.0,-13.8,0.1,981.1,66,23.8
2020-01-04,-2.3,-7.5,0.4,973.4,100,25.2
2020-01-05,-1.9,-3.3,0.0,978.4,100,18.3
2020-01-06,-1.4,-4.4,0.0,986.2,95,15.6
2020-01-07,-3.8,-10.4,0.0,994.9,79,10.4
2020-01-08,-8.1,-11.3,0.0,995.5,95,8.3
2020-01-09,-5.2,-11.0,0.0,990.6,98,16.5
2020-01-10,-4.3,-7.1,0.0,983.7,100,19.5
2020-01-11,-7.3,-9.3,0.0,980.4,76,17.8
2020-01-12,-4.8,-8.2,0.3,979.0,94,15.9
2020-01-13,-4.2,-7.1,0.8,968.9,100,27.9
2020-01-14,-3.0,-5.7,0.5,969.9,92,19.8
2020-01-15,-3.3,-11.0,0.0,984.6,79,19.2
2020-01-16,-0.2,-3.5,0.2,976.6,99,27.0
2020-01-17,0.8,-6.1,1.2,976.8,96,21.5
2020-01-18,-1.4,-10.4,0.2,985.5,87,21.8
2020-01-19,-3.0,-9.7,3.8,989.0,93,14.5
2020-01-20,-2.5,-11.1,3.8,982.6,99,12.3
2020-01-21,-9.2,-13.1,0.0,978.5,93,16.8
2020-01-22,-3.5,-9.1,2.6,958.6,99,22.0
2020-01-23,-3.2,-5.3,3.0,953.4,98,26.9
2020-01-24,-5.3,-9.8,1.1,964.0,98,19.2
2020-01-25,-10.4,-12.6,0.4,964.2,83,18.1
2020-01-26,-6.4,-10.8,2.0,959.0,97,11.7
2020-01-27,-7.7,-16.7,0.8,964.8,91,17.5
2020-01-28,-17.2,-21.4,0.0,980.8,29,18.1
2020-01-29,-19.2,-24.0,0.0,995.6,63,15.2
2020-01-30,-11.5,-19.3,1.1,992.8,100,13.7
2020-01-31,-4.1,-10.8,1.1,985.9,99,18.2
2020-02-01,-6.1,-7.6,4.2,980.6,100,18.3
2020-02-02,-4.8,-9.2,1.8,978.5,70,10.8
2020-02-03,-5.6,-9.8,0.4,973.0,81,25.7
2020-02-04,1.2,-5.3,2.2,961.2,99,25.8
2020-02-05,0.8,-4.2,1.5,961.8,79,19.3
2020-02-06,-4.1,-8.1,0.4,968.6,89,20.8
2020-02-07,-8.4,-15.6,0.0,974.4,98,15.8
2020-02-08,-11.9,-13.6,1.7,971.9,99,13.0
2020-02-09,-13.9,-19.8,0.3,980.4,27,16.6
2020-02-10,-11.6,-17.9,0.3,979.1,87,22.7
2020-02-11,-6.7,-12.6,0.0,979.7,45,17.1
2020-02-12,-3.5,-8.6,0.0,984.3,59,18.4
2020-02-13,-3.4,-7.3,0.5,982.8,99,8.3
2020-02-14,-4.8,-11.0,0.6,983.9,72,12.0
2020-02-15,-8.2,-16.2,0.0,990.0,60,9.3
2020-02-16,-7.5,-15.3,0.0,997.1,37,10.8
2020-02-17,-7.2,-12.6,0.0,997.0,60,20.5
2020-02-18,0.1,-7.7,1.7,979.0,100,29.4
2020-02-19,1.7,-0.4,0.5,979.1,100,23.8
2020-02-20,2.0,-1.6,0.2,981.6,87,15.9
2020-02-21,0.9,-2.7,0.1,987.3,86,19.3
2020-02-22,0.5,-4.7,0.0,993.9,56,9.4
2020-02-23,1.5,-6.4,0.0,993.0,50,13.5
2020-02-24,-4.4,-7.1,1.0,980.4,75,26.4
2020-02-25,-0.3,-5.9,0.0,978.2,94,20.4
2020-02-26,-3.8,-6.2,5.6,967.1,100,22.0
2020-02-27,-1.4,-4.9,0.8,972.7,97,25.1
2020-02-28,2.5,-1.4,2.9,980.9,100,15.8
2020-02-29,1.8,-2.0,0.1,978.3,92,25.4
2020-03-01,1.4,-3.0,0.0,981.0,87,19.7
2020-03-02,0.2,-7.3,0.0,987.8,32,21.7
2020-03-03,2.2,-1.2,0.0,987.6,100,26.0
2020-03-04,1.7,-1.4,0.0,987.5,97,24.1
2020-03-05,-0.5,-10.3,0.0,995.4,30,16.2
2020-03-06,-3.0,-16.4,0.0,1004.1,29,19.7
2020-03-07,-0.1,-5.1,0.0,996.4,86,29.3
2020-03-08,-0.3,-5.0,0.0,994.5,92,24.8
2020-03-09,1.1,-2.4,1.8,989.6,95,24.9
2020-03-10,2.2,-1.2,0.6,990.8,98,11.5
2020-03-11,6.2,-1.2,0.0,986.1,96,19.9
2020-03-12,8.1,1.6,0.0,978.8,71,18.6
2020-03-13,4.9,1.5,0.7,970.6,86,24.2
2020-03-14,2.9,-1.0,0.7,965.3,76,29.6
2020-03-15,1.0,-2.0,4.8,971.0,88,20.9
2020-03-16,2.6,-4.6,4.8,983.1,76,20.5
2020-03-17,0.4,-5.2,3.6,978.9,88,26.3
2020-03-18,1.9,-3.5,0.0,988.2,68,19.7
2020-03-19,3.8,-0.2,1.4,977.7,86,29.4
2020-03-20,3.5,-2.3,0.9,968.2,91,29.3
2020-03-21,0.5,-5.8,0.6,971.0,85,15.6
2020-03-22,-2.2,-9.2,0.4,987.4,80,14.4
2020-03-23,-3.2,-13.1,0.0,1003.4,0,11.3
2020-03-24,0.2,-17.7,0.0,1006.0,7,14.6
2020-03-25,5.6,-5.3,0.2,1000.4,84,20.1
2020-03-26,3.3,-3.0,0.1,989.4,86,23.2
2020-03-27,4.2,-2.2,0.0,990.0,25,22.3
2020-03-28,5.8,-5.3,0.0,992.4,34,16.0
2020-03-29,9.8,-0.2,0.0,988.3,59,19.4
2020-03-30,12.4,0.3,0.0,983.9,88,18.6
2020-03-31,11.8,-1.8,0.0,980.9,92,17.4
2020-04-01,11.3,-0.4,0.0,971.0,99,16.5
2020-04-02,2.8,-2.0,0.2,970.6,84,29.9
2020-04-03,6.1,-3.0,0.0,985.6,47,22.2
2020-04-04,6.7,-1.8,1.8,987.2,72,14.6
2020-04-05,11.5,1.0,3.2,979.3,78,17.3
2020-04-06,4.4,-0.3,1.2,977.7,98,19.7
2020-04-07,1.2,-4.8,0.0,977.8,88,32.4
2020-04-08,0.6,-7.8,0.0,975.9,41,28.8
2020-04-09,5.7,-5.7,0.5,983.3,65,19.1
2020-04-10,12.3,-2.2,0.0,984.7,26,19.2
2020-04-11,11.5,1.5,0.0,986.4,27,26.0
2020-04-12,11.4,1.4,1.3,981.7,77,24.8
2020-04-13,11.6,-0.7,2.8,975.0,53,17.7
2020-04-14,6.0,-1.8,2.6,978.3,67,11.3
2020-04-15,10.1,-1.9,0.1,981.2,54,15.5
2020-04-16,12.1,2.2,1.1,976.7,99,23.7
2020-04-17,7.8,1.5,4.5,972.5,94,21.5
2020-04-18,8.2,1.0,5.0,972.2,64,25.5
2020-04-19,9.4,-1.0,1.1,983.8,39,19.4
2020-04-20,10.9,-2.0,0.5,989.2,82,16.4
2020-04-21,13.4,-2.2,0.0,985.7,88,18.2
2020-04-22,11.1,3.8,8.1,966.8,78,22.5
2020-04-23,6.2,-0.1,2.8,963.3,77,24.0
2020-04-24,3.1,-3.3,1.0,971.8,42,25.1
2020-04-25,8.2,-3.9,1.2,976.7,59,31.8
2020-04-26,16.2,5.4,2.1,978.7,83,27.8
2020-04-27,15.6,3.7,0.0,976.8,92,16.0
2020-04-28,14.5,6.1,0.1,970.2,69,13.8
2020-04-29,9.9,2.7,0.7,970.3,56,26.3
2020-04-30,11.8,2.5,5.6,974.2,82,19.6
2020-05-01,9.0,3.2,0.2,980.7,75,31.7
2020-05-02,6.5,2.2,5.9,982.8,89,13.8
2020-05-03,8.1,0.3,0.0,988.1,64,19.7
2020-05-04,14.4,-1.5,0.0,993.5,19,11.2
2020-05-05,21.0,2.0,0.0,994.6,0,9.4
2020-05-06,23.0,8.8,0.0,992.2,21,13.4
2020-05-07,24.2,6.6,0.0,988.9,33,14.8
2020-05-08,24.0,9.7,0.0,987.5,88,18.4
2020-05-09,25.4,9.9,0.0,985.8,22,16.0
2020-05-10,23.6,13.4,0.0,980.4,78,13.2
2020-05-11,19.5,12.2,0.3,980.0,92,13.2
2020-05-12,24.9,12.6,1.5,976.5,73,25.6
2020-05-13,19.4,9.8,0.1,978.9,53,17.2
